,key,time
0,'t',2020-06-20 17:49:48.363500
1,'h',2020-06-20 17:49:48.401705
2,'i',2020-06-20 17:49:48.482762
3,'s',2020-06-20 17:49:48.554341
4,Key.space,2020-06-20 17:49:48.610389
5,'i',2020-06-20 17:49:48.658109
6,'s',2020-06-20 17:49:48.793779
7,Key.space,2020-06-20 17:49:48.841885
8,'h',2020-06-20 17:49:49.049613
9,'o',2020-06-20 17:49:49.162407
10,'w',2020-06-20 17:49:49.322277
11,Key.space,2020-06-20 17:49:49.450424
12,'f',2020-06-20 17:49:49.529741
13,'a',2020-06-20 17:49:49.626302
14,'s',2020-06-20 17:49:49.674263
15,'t',2020-06-20 17:49:49.785557
16,Key.space,2020-06-20 17:49:49.817533
17,'i',2020-06-20 17:49:49.922327
18,Key.space,2020-06-20 17:49:50.042235
19,'t',2020-06-20 17:49:50.073819
20,'y',2020-06-20 17:49:50.194047
21,'p',2020-06-20 17:49:50.273973
22,'e',2020-06-20 17:49:50.347750
23,Key.enter,2020-06-20 17:49:50.474203
